example,N,lambda,m,x,error,log10_error
6.2,80,10,2,0.820245442120900162,0.136490316786944573,-0.864898158258147931
6.2,80,10,2,0.856733435185591328,0.16029967103015816,-0.795067368911816644
6.2,80,10,2,0.889466892403887774,0.183131376580463121,-0.737237240032902597
6.2,80,10,2,0.918249619793461696,0.20437617028951432,-0.689569743151244161
6.2,80,10,2,0.942907875838670157,0.223457576297930446,-0.650804916060214218
6.2,80,10,2,0.963291920680397199,0.239851406401097065,-0.62005773064630143
6.2,80,10,2,0.979277357039527386,0.253103262651511279,-0.5967022564916272
6.2,80,10,2,0.990766248122838913,0.26284350774171532,-0.580302745625846764
6.2,80,10,2,0.997688000185283636,0.268799291974323084,-0.570571879561848903
6.2,80,10,2,1.0,0.270803338997474959,-0.567345985115259133
6.2,160,20,5,-1.0,0.135970808865555606,-0.866554318904512881
6.2,160,20,5,-0.999999999998209446,0.135809238705822356,-0.867070685265514822
6.2,160,20,5,-0.999999999885437654,0.13532549486313411,-0.868620376090324424
6.2,160,20,5,-0.999999998695692017,0.134522469260636849,-0.871205169483876315
6.2,160,20,5,-0.999999992676485618,0.133404955224560971,-0.874828038585022781
6.2,160,20,5,-0.999999972087236216,0.131979607929604864,-0.879493166125904392
6.2,160,20,5,-0.999999916741269935,0.130254889547580666,-0.885205965044357856
6.2,160,20,5,-0.999999790315556932,0.128240999618165718,-0.891973105384406013
6.2,160,20,5,-0.99999953345903202,0.125949791299966051,-0.899802547795468877
6.2,160,20,5,-0.999999055736953854,0.123394674292927617,-0.908703584023246412
6.2,160,20,5,-0.99999822645520509,0.120590505348112411,-0.918686884876201663
6.2,160,20,5,-0.999996864414706614,0.117553467396755721,-0.929764556253473846
6.2,160,20,5,-0.999994726652185799,0.114300938436195094,-0.941950203935531266
6.2,160,20,5,-0.999991496229377061,0.110851351404672879,-0.955259007971101519
6.2,160,20,5,-0.999986769138318608,0.107224046359237448,-0.969707807646712868
6.2,160,20,5,-0.999980040395719191,0.103439116340201509,-0.98531519820319978
6.2,160,20,5,-0.99997068940438076,0.0995172483611873704,-1.00210164067248339
6.2,160,20,5,-0.999957964664356308,0.0954795610051632771,-1.02008958645490877
6.2,160,20,5,-0.999940967920876958,0.0913474401336576752,-1.03930361855122499
6.2,160,20,5,-0.99991863784008014,0.0871423742282794517,-1.05977061171500141
6.2,160,20,5,-0.999889733307194123,0.0828857908806678775,-1.08151991421487761
6.2,160,20,5,-0.999852816445067608,0.0785988959290883903,-1.10458355440934801
6.2,160,20,5,-0.999806235453761988,0.0743025167072668444,-1.12899647596260195
6.2,160,20,5,-0.999748107374335545,0.070016950824045166,-1.15479680629771944
6.2,160,20,5,-0.999676300881931877,0.0657618218315138068,-1.18202616383154544
6.2,160,20,5,-0.999588419214829544,0.0615559430650325799,-1.21073001071399893
6.2,160,20,5,-0.999481783347208259,0.0574171908517200222,-1.24095805926968829
6.2,160,20,5,-0.999353415514032456,0.0533623881854205517,-1.27276474219981648
6.2,160,20,5,-0.999200023196641102,0.049407199856807853,-1.3062097589662192
6.2,160,20,5,-0.999017983677360107,0.0455660399082136892,-1.3413587138082331
6.2,160,20,5,-0.998803329270719479,0.0418519921551375256,-1.3782838647581367
6.2,160,20,5,-0.998551733337661766,0.0382767443814295693,-1.41706500812894389
6.2,160,20,5,-0.998258497187473712,0.0348505366741546023,-1.45779052967990805
6.2,160,20,5,-0.997918537970063242,0.0315821242185024951,-1.5005586626320841
6.2,160,20,5,-0.997526377658644585,0.0284787547242278779,-1.54547900479010074
6.2,160,20,5,-0.997076133219892947,0.0255461605044270165,-1.5926743635152508
6.2,160,20,5,-0.996561508065195625,0.0227885650764702153,-1.64228302010221939
6.2,160,20,5,-0.995975784872769595,0.0202087040050919666,-1.69446153712717359
6.2,160,20,5,-0.995311819866148711,0.0178078595604890367,-1.74938827800628713
6.2,160,20,5,-0.994562038629880538,0.0155859086212692366,-1.80726787431747445
6.2,160,20,5,-0.993718433538229084,0.0135413831146899709,-1.86833697461689982
6.2,160,20,5,-0.992772562867272058,0.0116715421562524507,-1.93287175700503044
6.2,160,20,5,-0.991715551655028179,0.00997245492875777456,-2.00119791783948402
6.2,160,20,5,-0.99053809436817113,0.00843909322871346631,-2.07370421533196703
6.2,160,20,5,-0.989230459427502989,0.00706543250676672975,-2.15086124789143968
6.2,160,20,5,-0.987782495637693566,0.00584456013982081444,-2.23324816816969307
6.2,160,20,5,-0.986183640559866311,0.00476878959676397616,-2.32159183860202439
6.2,160,20,5,-0.984422930858450829,0.00382977909830978027,-2.41682627541828537
6.2,160,20,5,-0.982489014646351744,0.00301865332520830528,-2.52018676031049856
6.2,160,20,5,-0.980370165844930133,0.00232612669881713779,-2.63336663393319927
6.2,160,20,5,-0.978054300567583847,0.00174262674436696909,-2.75879562506501737
6.2,160,20,5,-0.975528995527874671,0.00125841605072778661,-2.90017575105065229
